disk_type,pool_type,cache_size,iops_min,iops_max,iops_avg,iops_std,iops_samples,bw_min,bw_max,bw_perc,bw_avg,bw_std,bw_samples,clat_min,clat_max,clat_avg,clat_std,iodepth,bs,iops_limit,workload,request_type,iops,bw,bw_mb,total_bw,total_time,clat_1th,clat_50th,clat_90th,clat_99th
lsvd,ssd,240gb,55572,77292,62595.29,6547.01,59,222296,309168,100.00,250381.29,26187.63,59,252,7131,2032.18,394.67,128,4ki,90000,randread,read,62.5k,244MiB/s,256MB/s,7325MiB,30002msec,1139,2147,2442,5211
lsvd,ssd,240gb,52830,74842,69399.19,4965.40,59,211320,299368,99.95,277596.61,19861.59,59,154,5064,1829.42,308.60,128,4ki,100000,randread,read,69.4k,271MiB/s,284MB/s,8137MiB,30001msec,1057,1811,2147,4359
lsvd,ssd,240gb,52830,74842,69399.19,4965.40,59,40000,40056,100.00,40025.22,11.10,59,35,1720,137.62,39.20,128,4ki,10000,read,read,9999,39.1MiB/s,41.0MB/s,1172MiB,30001msec,100,128,178,668
lsvd,ssd,240gb,52830,74842,69399.19,4965.40,59,80008,80120,100.00,80056.27,22.77,59,65,1843,168.39,45.95,128,4ki,20000,read,read,20.0k,78.1MiB/s,81.9MB/s,2344MiB,30001msec,106,161,217,766
lsvd,ssd,240gb,52830,74842,69399.19,4965.40,59,120008,120144,100.00,120076.34,32.96,59,71,3058,224.83,61.35,128,4ki,30000,read,read,30.0k,117MiB/s,123MB/s,3516MiB,30001msec,129,221,285,2073
lsvd,ssd,240gb,39970,40072,40038.95,18.05,59,159880,160288,100.00,160155.80,72.22,59,86,1373,266.48,74.07,128,4ki,40000,read,read,40.0k,156MiB/s,164MB/s,4687MiB,30001msec,151,255,355,963
lsvd,ssd,240gb,49978,50078,50031.05,19.16,59,199912,200312,100.00,200124.07,76.42,59,91,2467,330.93,109.64,128,4ki,50000,read,read,50.0k,195MiB/s,205MB/s,5859MiB,30001msec,157,314,449,1516
lsvd,ssd,240gb,59958,60102,60035.97,29.35,59,239832,240408,100.00,240143.86,117.40,59,136,2181,518.63,231.92,128,4ki,60000,read,read,60.0k,234MiB/s,246MB/s,7031MiB,30001msec,208,474,799,2114
lsvd,ssd,240gb,59992,86702,70032.17,2873.92,59,239968,346808,100.00,280128.68,11495.69,59,170,4548,1078.29,553.16,128,4ki,70000,read,read,70.0k,273MiB/s,287MB/s,8203MiB,30001msec,281,979,1811,3556
lsvd,ssd,240gb,73390,86740,78170.54,3597.60,59,293560,346960,99.94,312679.32,14384.78,59,273,3216,1612.74,230.83,128,4ki,80000,read,read,78.2k,306MiB/s,320MB/s,9166MiB,30001msec,865,1647,1844,2737
lsvd,ssd,240gb,73514,88684,82038.17,4731.41,59,294056,354736,100.00,328152.81,18925.56,59,535,2784,1548.93,192.50,128,4ki,90000,read,read,82.0k,320MiB/s,336MB/s,9611MiB,30002msec,1020,1549,1795,2606
lsvd,ssd,240gb,73474,92446,83686.88,4579.52,59,293896,369784,100.00,334747.53,18318.71,59,392,3007,1518.91,200.68,128,4ki,100000,read,read,83.6k,327MiB/s,343MB/s,9801MiB,30001msec,979,1500,1778,2573
lsvd,ssd,240gb,73474,92446,83686.88,4579.52,59,27040,34072,100.00,30581.69,2052.87,59,392,3007,1518.91,200.68,1,4ki,100000,randread,read,7634,29.8MiB/s,31.3MB/s,895MiB,30001msec,91,113,141,627
lsvd,ssd,240gb,48454,55630,51433.66,1729.44,59,193816,222520,99.97,205734.24,6917.75,59,101,1789,299.26,60.19,16,4ki,100000,randread,read,51.4k,201MiB/s,211MB/s,6029MiB,30001msec,190,293,367,840
lsvd,ssd,240gb,62538,71158,67263.08,2710.76,59,250152,284632,100.00,269052.47,10843.10,59,204,1224,465.50,87.41,32,4ki,100000,randread,read,67.2k,263MiB/s,275MB/s,7880MiB,30001msec,265,461,570,1090
lsvd,ssd,240gb,61270,72654,70139.97,2928.21,59,245080,290616,100.00,280560.00,11712.89,59,109,4080,902.74,134.38,64,4ki,100000,randread,read,70.1k,274MiB/s,287MB/s,8217MiB,30001msec,502,906,1045,1680
lsvd,ssd,240gb,53600,73820,60284.20,7391.66,59,214400,295280,100.00,241136.27,29566.63,59,292,4079,1641.78,392.07,80,4ki,100000,randread,read,60.2k,235MiB/s,247MB/s,7055MiB,30002msec,619,1745,2024,3359
lsvd,ssd,240gb,63140,75642,69761.08,3428.34,59,252560,302568,99.97,279044.34,13713.35,59,247,5781,1578.19,370.88,96,4ki,100000,randread,read,69.8k,273MiB/s,286MB/s,8177MiB,30001msec,725,1663,1975,3032
lsvd,ssd,240gb,66790,77632,73392.81,3273.11,59,267160,310528,100.00,293571.12,13092.66,59,159,5998,1627.64,323.80,112,4ki,100000,randread,read,73.3k,286MiB/s,300MB/s,8595MiB,30001msec,816,1663,1975,3163
lsvd,ssd,240gb,65102,74942,71406.47,3123.64,59,260408,299768,100.00,285626.31,12494.84,59,305,3169,1778.86,203.51,128,4ki,100000,randread,read,71.4k,279MiB/s,292MB/s,8368MiB,30001msec,1106,1778,2008,2933
lsvd,ssd,240gb,65280,76356,73168.20,3013.20,59,261120,305408,100.00,292672.68,12052.61,59,581,6649,2844.35,453.38,160,4ki,100000,randread,read,73.1k,286MiB/s,300MB/s,8572MiB,30001msec,1926,2835,3425,5538
lsvd,ssd,240gb,65338,74496,72851.53,2162.21,59,261352,297984,100.00,291405.97,8649.16,59,725,8395,3072.93,356.14,192,4ki,100000,randread,read,72.8k,285MiB/s,298MB/s,8536MiB,30002msec,2311,3064,3490,6521
lsvd,ssd,240gb,62976,75712,67922.44,3412.77,59,251904,302848,100.00,271689.49,13650.98,59,588,5855,3532.07,342.41,224,4ki,100000,randread,read,67.9k,265MiB/s,278MB/s,7953MiB,30001msec,2671,3556,3949,4883
lsvd,ssd,240gb,64442,74658,68370.98,3628.37,59,257768,298632,99.87,273483.66,14513.52,59,588,5930,3724.72,313.34,256,4ki,100000,randread,read,68.5k,267MiB/s,280MB/s,8023MiB,30001msec,2966,3752,4080,5080
lsvd,ssd,240gb,61824,75264,70050.71,4334.87,59,247296,301056,99.99,280202.71,17339.36,59,734,14181,5949.80,930.79,320,4ki,100000,randread,read,70.1k,274MiB/s,287MB/s,8211MiB,30001msec,4228,5932,7177,11469
lsvd,ssd,240gb,57856,75520,64863.46,6559.16,59,231424,302080,100.00,259453.83,26236.63,59,732,13048,6918.12,998.72,384,4ki,100000,randread,read,64.7k,253MiB/s,265MB/s,7586MiB,30002msec,5080,6915,8094,11207
lsvd,ssd,240gb,66176,77056,73410.95,3219.45,59,264704,308224,100.00,293643.80,12877.81,59,888,13238,6534.02,519.95,448,4ki,100000,randread,read,73.4k,287MiB/s,301MB/s,8603MiB,30002msec,5538,6456,7242,11863
lsvd,ssd,240gb,60660,77070,72344.68,3588.87,59,242640,308280,100.00,289378.58,14355.60,59,790,13361,7070.31,581.10,512,4ki,100000,randread,read,72.3k,282MiB/s,296MB/s,8469MiB,30001msec,6128,6980,7767,12911
lsvd,ssd,240gb,60660,77070,72344.68,3588.87,59,28368,35088,100.00,31705.90,1713.93,59,26,2937,112.58,33.16,1,4ki,100000,read,read,7913,30.9MiB/s,32.4MB/s,927MiB,30001msec,83,106,131,611
lsvd,ssd,240gb,52928,63196,57117.80,2119.28,59,211712,252784,100.00,228471.05,8477.03,59,96,2265,269.26,56.18,16,4ki,100000,read,read,57.1k,223MiB/s,234MB/s,6694MiB,30001msec,163,265,330,799
lsvd,ssd,240gb,56988,82930,77094.00,4176.57,59,227952,331712,100.00,308376.14,16706.24,59,158,1781,405.90,78.10,32,4ki,100000,read,read,77.0k,301MiB/s,315MB/s,9022MiB,30001msec,258,404,486,1123
lsvd,ssd,240gb,61008,85810,78703.05,5600.75,59,244032,343240,100.00,314811.80,22402.97,59,381,2912,803.33,161.87,64,4ki,100000,read,read,78.7k,307MiB/s,322MB/s,9221MiB,30001msec,461,816,947,2704
lsvd,ssd,240gb,68160,92670,83039.12,4564.76,59,272640,370680,100.00,332156.61,18258.91,59,334,3237,1228.11,325.22,80,4ki,100000,read,read,83.0k,324MiB/s,340MB/s,9726MiB,30001msec,594,1270,1598,2868
lsvd,ssd,240gb,58240,94912,82340.88,6709.81,59,232960,379648,100.00,329363.53,26839.25,59,211,4872,1344.74,329.02,96,4ki,100000,read,read,82.3k,321MiB/s,337MB/s,9643MiB,30001msec,676,1385,1680,4080
lsvd,ssd,240gb,76158,92864,86064.54,4085.85,59,304640,371456,100.00,344257.90,16343.03,59,224,2963,1388.55,255.63,112,4ki,100000,read,read,86.0k,336MiB/s,352MB/s,9.84GiB,30001msec,758,1418,1663,2638
lsvd,ssd,240gb,72730,92764,80327.63,6088.16,59,290920,371056,99.94,321310.10,24352.30,59,265,5275,1580.27,213.36,128,4ki,100000,read,read,80.4k,314MiB/s,329MB/s,9419MiB,30001msec,996,1598,1811,2802
lsvd,ssd,240gb,74304,93888,80278.78,5489.45,59,297216,375552,100.00,321114.85,21958.08,59,248,4811,2593.10,435.49,160,4ki,100000,read,read,80.2k,313MiB/s,328MB/s,9397MiB,30001msec,1696,2573,3195,4113
lsvd,ssd,240gb,74880,93440,81716.07,5684.63,59,299520,373760,100.00,326864.27,22738.50,59,846,5042,2741.83,376.26,192,4ki,100000,read,read,81.6k,319MiB/s,334MB/s,9561MiB,30001msec,1942,2737,3228,4424
lsvd,ssd,240gb,75712,94720,86568.10,3888.06,59,302848,378880,100.00,346272.14,15552.21,59,493,6033,2769.35,267.89,224,4ki,100000,read,read,86.5k,338MiB/s,354MB/s,9.90GiB,30001msec,2180,2769,3130,4293
lsvd,ssd,240gb,81836,93222,87016.17,2704.25,59,327344,372888,100.00,348064.41,10816.76,59,569,4472,2934.41,253.56,256,4ki,100000,read,read,86.9k,339MiB/s,356MB/s,9.94GiB,30001msec,2409,2900,3294,4293
lsvd,ssd,240gb,74880,96384,83946.31,6868.39,59,299520,385536,99.99,335785.22,27473.54,59,633,8098,4968.52,833.10,320,4ki,100000,read,read,84.0k,328MiB/s,344MB/s,9838MiB,30001msec,3392,4948,6128,7635
lsvd,ssd,240gb,70912,91648,84614.51,5187.87,59,283648,366592,99.95,338457.63,20751.37,59,672,10800,5293.22,638.28,384,4ki,100000,read,read,84.7k,331MiB/s,347MB/s,9921MiB,30001msec,4080,5276,6128,9503
lsvd,ssd,240gb,73984,86144,76702.37,2950.50,59,295936,344576,99.80,306809.22,11802.17,59,784,9888,6243.21,466.08,448,4ki,100000,read,read,76.9k,300MiB/s,315MB/s,9006MiB,30001msec,5014,6259,6783,8848
lsvd,ssd,240gb,74124,88174,81705.15,4611.43,59,296496,352696,100.00,326820.75,18445.53,59,677,9649,6257.01,534.91,512,4ki,100000,read,read,81.7k,319MiB/s,334MB/s,9570MiB,30001msec,5342,6128,6980,8455
lsvd,ssd,240gb,64826,73846,72380.85,1830.67,59,259304,295384,100.00,289523.39,7322.66,59,624,5890,3530.69,234.49,256,4ki,100000,randread,read,72.2k,282MiB/s,296MB/s,8464MiB,30001msec,2933,3523,3785,5145
lsvd,ssd,240gb,58066,66180,63939.49,2423.68,59,464528,529440,100.00,511516.20,19389.80,59,845,6137,3988.37,356.37,256,8ki,100000,randread,read,63.9k,499MiB/s,524MB/s,14.6GiB,30001msec,3195,3982,4424,5800
lsvd,ssd,240gb,44460,50080,46373.46,1955.29,59,711360,801280,100.00,741975.86,31284.27,59,1632,7999,5500.84,339.62,256,16ki,100000,randread,read,46.4k,724MiB/s,759MB/s,21.2GiB,30003msec,4817,5538,5932,6915
lsvd,ssd,240gb,26178,31890,30866.54,1283.00,59,837696,1020480,100.00,987729.36,41055.86,59,2672,13038,8273.04,521.84,256,32ki,100000,randread,read,30.8k,963MiB/s,1010MB/s,28.2GiB,30005msec,7570,8094,8979,12518
lsvd,ssd,240gb,16098,17750,16939.42,383.03,59,837696,1020480,100.00,987729.36,41055.86,59,1150,26865,15053.69,843.65,256,64ki,100000,randread,read,16.9k,1058MiB/s,1110MB/s,31.0GiB,30008msec,13829,15008,15795,23200
lsvd,ssd,240gb,72776,86274,79177.15,4348.76,59,291104,345096,99.92,316708.61,17395.06,59,598,7635,3217.95,311.61,256,4ki,100000,read,read,79.2k,310MiB/s,325MB/s,9287MiB,30001msec,2507,3228,3556,4817
lsvd,ssd,240gb,63886,75236,71933.97,2489.16,59,511088,601888,100.00,575471.46,19912.89,59,1000,7004,3546.25,317.06,256,8ki,100000,read,read,71.9k,562MiB/s,589MB/s,16.5GiB,30002msec,2868,3523,3949,5932
lsvd,ssd,240gb,49122,59796,53937.25,2138.55,59,785952,956736,100.00,862995.53,34216.62,59,1975,7714,4729.02,320.11,256,16ki,100000,read,read,53.9k,842MiB/s,883MB/s,24.7GiB,30003msec,4047,4686,5145,6980
lsvd,ssd,240gb,25406,35662,31273.05,1829.62,59,812992,1141184,99.89,1000737.63,58547.72,59,1207,18364,8143.23,644.79,256,32ki,100000,read,read,31.3k,978MiB/s,1026MB/s,28.7GiB,30004msec,6915,8160,8848,14484
lsvd,ssd,240gb,16750,18900,18087.76,348.96,59,812992,1141184,99.89,1000737.63,58547.72,59,2566,23502,14092.80,746.77,256,64ki,100000,read,read,18.1k,1131MiB/s,1185MB/s,33.1GiB,30007msec,13304,13960,14615,22676
lsvd,ssd,240gb,29336,61680,53377.13,3657.57,119,117344,246720,100.00,213508.44,14630.23,119,166,209626,2380.55,1435.29,128,4ki,100000,randwrite,write,53.4k,208MiB/s,219MB/s,12.2GiB,60001msec,1385,2278,2966,18482
lsvd,ssd,240gb,29336,61680,53377.13,3657.57,119,25936,283712,99.69,190608.67,60809.88,119,131,403096,2657.10,9571.31,128,4ki,100000,write,write,47.8k,187MiB/s,196MB/s,10.9GiB,60001msec,1237,2180,2769,358613
lsvd,ssd,240gb,29336,61680,53377.13,3657.57,119,39992,40064,100.00,40028.47,15.60,59,21,9658,151.46,98.43,128,4ki,10000,randwrite,write,9999,39.1MiB/s,41.0MB/s,1172MiB,30001msec,105,129,206,2737
lsvd,ssd,240gb,17372,22646,20012.71,489.71,59,69488,90584,100.00,80050.85,1958.85,59,39,94073,303.26,974.30,128,4ki,20000,randwrite,write,20.0k,78.1MiB/s,81.9MB/s,2344MiB,30001msec,118,198,351,45351
lsvd,ssd,240gb,17862,42178,30017.39,2958.96,59,71448,168712,100.00,120069.56,11835.83,59,90,207512,775.28,3902.53,128,4ki,30000,randwrite,write,30.0k,117MiB/s,123MB/s,3516MiB,30001msec,137,293,1958,139461
lsvd,ssd,240gb,22064,58158,39801.39,7456.68,59,88256,232632,99.51,159205.56,29826.74,59,91,277557,1236.85,5304.34,128,4ki,40000,randwrite,write,40.0k,156MiB/s,164MB/s,4687MiB,30001msec,149,461,2278,233833
lsvd,ssd,240gb,11426,66810,48228.14,13797.35,59,45704,267240,99.73,192912.41,55189.38,59,158,263337,2585.34,7362.97,128,4ki,50000,randwrite,write,48.4k,189MiB/s,198MB/s,5667MiB,30001msec,758,2180,2769,256902
lsvd,ssd,240gb,11678,67880,49622.03,14405.56,59,46712,271520,100.00,198488.14,57622.25,59,596,459872,2563.48,8342.80,128,4ki,60000,randwrite,write,49.5k,194MiB/s,203MB/s,5806MiB,30001msec,1237,2147,2704,278922
lsvd,ssd,240gb,11678,67880,49622.03,14405.56,59,20776,273208,99.76,182071.19,62097.64,59,397,456241,2783.64,10995.72,128,4ki,70000,randwrite,write,45.6k,178MiB/s,187MB/s,5347MiB,30001msec,1401,2212,2737,400557
lsvd,ssd,240gb,11398,67478,49226.41,14231.10,59,45592,269912,100.00,196905.76,56924.49,59,670,413484,2581.41,9254.44,128,4ki,80000,randwrite,write,49.2k,192MiB/s,202MB/s,5766MiB,30002msec,1336,2147,2671,404751
lsvd,ssd,240gb,11398,67478,49226.41,14231.10,59,37088,269936,100.00,195040.81,61073.02,59,331,451685,2611.12,10403.88,128,4ki,90000,randwrite,write,48.6k,190MiB/s,199MB/s,5703MiB,30014msec,1303,2114,2671,396362
lsvd,ssd,240gb,14392,67076,50176.24,14808.81,59,57568,268304,99.78,200704.54,59234.88,59,131,376942,2525.81,8790.19,128,4ki,100000,randwrite,write,50.3k,196MiB/s,206MB/s,5893MiB,30001msec,1237,2114,2671,367002
lsvd,ssd,240gb,14392,67076,50176.24,14808.81,59,40000,40048,100.00,40025.36,10.31,59,52,2622,157.94,68.11,128,4ki,10000,write,write,9999,39.1MiB/s,41.0MB/s,1172MiB,30001msec,109,137,215,1254
lsvd,ssd,240gb,17068,22946,20012.31,900.98,59,68272,91784,100.00,80049.22,3603.91,59,35,124115,414.98,1547.89,128,4ki,20000,write,write,20.0k,78.1MiB/s,81.9MB/s,2344MiB,30001msec,118,194,603,89654
lsvd,ssd,240gb,17068,22946,20012.31,900.98,59,39368,224472,100.00,120070.64,34363.85,59,64,245604,1409.62,4043.67,128,4ki,30000,write,write,30.0k,117MiB/s,123MB/s,3516MiB,30001msec,135,347,2540,152044
lsvd,ssd,240gb,16222,59862,40022.68,11564.49,59,64888,239448,100.00,160090.85,46257.98,59,93,301561,1325.52,6405.73,128,4ki,40000,write,write,40.0k,156MiB/s,164MB/s,4687MiB,30001msec,157,603,2311,299893
lsvd,ssd,240gb,14530,70284,49947.56,16561.74,59,58120,281136,99.90,199790.64,66246.94,59,108,453673,2255.66,11063.10,128,4ki,50000,write,write,50.0k,195MiB/s,205MB/s,5859MiB,30001msec,293,1876,2409,408945
lsvd,ssd,240gb,14530,70284,49947.56,16561.74,59,10280,282896,100.00,209658.44,64979.82,59,182,584144,2393.73,11020.18,128,4ki,60000,write,write,52.0k,203MiB/s,213MB/s,6091MiB,30001msec,553,1975,2540,425722
lsvd,ssd,240gb,14530,70284,49947.56,16561.74,59,26312,283792,99.99,202484.75,67997.54,59,154,438125,2508.76,11446.53,128,4ki,70000,write,write,50.6k,198MiB/s,207MB/s,5933MiB,30001msec,1319,2024,2540,379585
lsvd,ssd,240gb,14530,70284,49947.56,16561.74,59,26312,283792,99.99,202484.75,67997.54,59,142,511872,2716.01,12432.35,128,4ki,80000,write,write,46.8k,183MiB/s,192MB/s,5480MiB,30001msec,1401,2180,2737,429917
lsvd,ssd,240gb,17448,70056,49598.44,15008.36,59,69792,280224,100.00,198393.76,60033.46,59,300,399592,2595.90,10811.04,128,4ki,90000,write,write,48.9k,191MiB/s,200MB/s,5734MiB,30001msec,1336,2114,2671,358613
lsvd,ssd,240gb,13240,67596,46211.76,15523.49,59,52960,270384,99.54,184846.92,62093.81,59,140,353814,2735.68,10973.54,128,4ki,100000,write,write,46.4k,181MiB/s,190MB/s,5441MiB,30002msec,1369,2212,2868,350225
lsvd,ssd,240gb,13240,67596,46211.76,15523.49,59,23008,30696,100.00,26165.42,1447.89,59,140,353814,2735.68,10973.54,1,4ki,100000,randwrite,write,6539,25.5MiB/s,26.8MB/s,766MiB,30001msec,97,126,153,1696
lsvd,ssd,240gb,17254,46822,36074.58,6979.16,59,69016,187288,100.00,144298.31,27916.69,59,90,229562,435.51,2248.07,16,4ki,100000,randwrite,write,35.9k,140MiB/s,147MB/s,4202MiB,30001msec,180,367,529,128451
lsvd,ssd,240gb,13154,62932,44671.73,14166.50,59,52616,251728,99.88,178686.78,56665.99,59,200,477201,705.01,4953.94,32,4ki,100000,randwrite,write,44.7k,175MiB/s,183MB/s,5242MiB,30001msec,318,562,791,287310
lsvd,ssd,240gb,13154,62932,44671.73,14166.50,59,38320,261104,99.86,181977.42,49981.31,59,235,338832,1395.25,4770.93,64,4ki,100000,randwrite,write,45.6k,178MiB/s,187MB/s,5339MiB,30001msec,562,1172,1549,214959
lsvd,ssd,240gb,15136,66468,48057.53,14209.15,59,60544,265880,99.73,192229.97,56837.02,59,412,415523,2096.87,8642.93,80,4ki,100000,randwrite,write,48.2k,188MiB/s,197MB/s,5647MiB,30001msec,570,1680,2638,400557
lsvd,ssd,240gb,15136,66468,48057.53,14209.15,59,17512,272680,99.71,198226.17,69373.13,59,335,463907,2229.71,11211.57,96,4ki,100000,randwrite,write,49.7k,194MiB/s,204MB/s,5825MiB,30001msec,750,1762,2573,446694
lsvd,ssd,240gb,10432,66598,49678.64,16037.11,59,41728,266392,100.00,198714.58,64148.37,59,163,410172,2406.51,9741.32,112,4ki,100000,randwrite,write,49.6k,194MiB/s,203MB/s,5811MiB,30001msec,881,1926,2704,396362
lsvd,ssd,240gb,14304,66540,51121.42,13458.02,59,57216,266160,100.00,204485.42,53831.83,59,153,462325,2484.39,7652.41,128,4ki,100000,randwrite,write,51.1k,200MiB/s,209MB/s,5991MiB,30001msec,1319,2089,2737,337642
lsvd,ssd,240gb,17664,67392,49461.15,14800.59,59,70656,269568,100.00,197844.61,59202.34,59,466,357210,4208.84,12467.13,160,4ki,100000,randwrite,write,49.4k,193MiB/s,202MB/s,5791MiB,30001msec,3,4,5,355
lsvd,ssd,240gb,12160,66816,50258.44,15804.64,59,48640,267264,100.00,201033.76,63218.53,59,724,393388,4502.88,12056.82,192,4ki,100000,randwrite,write,49.7k,194MiB/s,204MB/s,5825MiB,30008msec,3,4,5,388
lsvd,ssd,240gb,12160,66816,50258.44,15804.64,59,31744,264448,99.73,192715.93,67588.58,59,390,465285,4963.89,15219.28,224,4ki,100000,randwrite,write,48.3k,189MiB/s,198MB/s,5662MiB,30001msec,3,4,5,464
lsvd,ssd,240gb,14352,67166,48177.97,15790.35,59,57408,268664,99.81,192711.73,63161.29,59,629,431441,5282.79,15961.82,256,4ki,100000,randwrite,write,48.3k,189MiB/s,198MB/s,5657MiB,30001msec,4,5,6,430
lsvd,ssd,240gb,14352,67166,48177.97,15790.35,59,23040,273408,99.75,212098.03,63121.18,59,494,452675,7828.03,16705.94,320,4ki,100000,randwrite,write,53.2k,208MiB/s,218MB/s,6230MiB,30001msec,5,7,9,451
lsvd,ssd,240gb,14352,67166,48177.97,15790.35,59,13312,273408,99.82,208427.25,68044.83,59,615,503963,8572.88,19644.42,384,4ki,100000,randwrite,write,52.2k,204MiB/s,214MB/s,6117MiB,30001msec,6,8,9,502
lsvd,ssd,240gb,14352,67166,48177.97,15790.35,59,20992,272384,100.00,204226.71,68070.57,59,733,482016,9498.79,21443.28,448,4ki,100000,randwrite,write,50.6k,198MiB/s,207MB/s,5928MiB,30001msec,7,8,10,447
lsvd,ssd,240gb,14210,67246,49700.98,15326.65,59,56840,268984,100.00,198803.93,61306.61,59,733,482016,9498.79,21443.28,512,4ki,100000,randwrite,write,49.1k,192MiB/s,201MB/s,5760MiB,30003msec,8,9,11,447
lsvd,ssd,240gb,14210,67246,49700.98,15326.65,59,24368,30376,100.00,27415.32,1400.84,59,52,1450,132.57,52.21,1,4ki,100000,write,write,6849,26.8MiB/s,28.1MB/s,803MiB,30001msec,98,122,145,783
lsvd,ssd,240gb,13436,49272,38174.27,8564.46,59,53744,197088,99.84,152696.95,34258.18,59,93,317051,408.93,3308.51,16,4ki,100000,write,write,38.2k,149MiB/s,157MB/s,4481MiB,30001msec,149,351,494,221250
lsvd,ssd,240gb,13436,49272,38174.27,8564.46,59,35744,275296,99.80,202989.02,67368.52,59,189,460335,619.49,5843.10,32,4ki,100000,write,write,50.8k,199MiB/s,208MB/s,5959MiB,30001msec,293,486,644,350225
lsvd,ssd,240gb,13436,49272,38174.27,8564.46,59,27376,283072,99.71,202482.31,64680.74,59,182,439264,1250.99,7675.77,64,4ki,100000,write,write,50.8k,198MiB/s,208MB/s,5949MiB,30001msec,529,1037,1352,396362
lsvd,ssd,240gb,13140,70796,48870.07,17828.78,59,52560,283184,99.67,195480.14,71315.34,59,153,435069,2032.11,10499.19,80,4ki,100000,write,write,49.0k,192MiB/s,201MB/s,5746MiB,30001msec,553,1598,2442,375391
lsvd,ssd,240gb,13140,70796,48870.07,17828.78,59,27280,280056,99.88,197649.36,68104.03,59,253,389567,2223.03,8783.99,96,4ki,100000,write,write,49.5k,193MiB/s,203MB/s,5798MiB,30001msec,734,1827,2704,383779
lsvd,ssd,240gb,13140,70796,48870.07,17828.78,59,27280,280056,99.88,197649.36,68104.03,59,153,519619,2497.80,12219.22,112,4ki,100000,write,write,47.9k,187MiB/s,196MB/s,5613MiB,30001msec,840,1975,2638,455082
lsvd,ssd,240gb,17656,70236,49775.39,14534.47,59,70624,280944,99.77,199101.42,58137.94,59,554,402266,2545.94,10253.88,128,4ki,100000,write,write,49.9k,195MiB/s,204MB/s,5846MiB,30001msec,1369,2147,2573,392168
lsvd,ssd,240gb,14208,63168,46236.20,15100.17,59,56832,252672,99.62,184944.81,60400.69,59,511,372786,4512.30,15359.89,160,4ki,100000,write,write,46.4k,181MiB/s,190MB/s,5439MiB,30001msec,3,4,5,372
lsvd,ssd,240gb,14208,63168,46236.20,15100.17,59,38912,273920,100.00,196859.39,61931.32,59,637,452954,4613.66,15651.84,192,4ki,100000,write,write,48.4k,189MiB/s,198MB/s,5675MiB,30002msec,3,4,5,451
lsvd,ssd,240gb,13760,70784,47847.05,15529.62,59,55040,283136,99.68,191388.20,62118.48,59,520,428567,4981.38,16258.51,224,4ki,100000,write,write,48.0k,188MiB/s,197MB/s,5625MiB,30001msec,3,4,5,430
